ID,CATEGORY,TITLE,BODY,SOURCE,DATE,FABRICATION_TYPE,ORIGINAL_TITLE,LABEL
1,POLITICS,"Without consulting Madhav K Nepal, Oli removes UML officials, appoints new ones",,OnlineKhabar,2021-03-12,none,"Without consulting Madhav K Nepal, Oli removes UML officials, appoints new ones",TRUE
2,POLITICAL,NC lawmakers' petition demanding House reinstatement registered in SC,,Setopati,2025-12-09,none,NC lawmakers' petition demanding House reinstatement registered in SC,TRUE
3,POLITICS,"Dahal accuses UN, EU and western powers of holding ideological bias against Nepal",,YetiNews,2019-01-25,entity_swap,"Oli accuses UN, EU and western powers of holding ideological bias against Nepal",Fake
4,POLITICAL,"Gautam quits NC, to join CPN (Unified Socialist) if it adopts people's multiparty democracy",,KathmanduExpress,2021-09-03,entity_swap,"Gautam quits UML, to join CPN (Unified Socialist) if it adopts people's multiparty democracy",Fake
5,POLITICAL,"MCC ratification will bring more jobs for Nepal, reliable supply of electricity, and lower transportation costs",,Setopati,2022-02-28,none,"MCC ratification will bring more jobs for Nepal, reliable supply of electricity, and lower transportation costs",TRUE
6,POLITICAL,Rebel Maoist candidate Manoj Sah elected Janakpurdham mayor,,NepalVoice,2022-05-23,entity_swap,Rebel NC candidate Manoj Sah elected Janakpurdham mayor,Fake
7,POLITICS,Dahal under strain as Oli opposes RSP's claim for home ministry,,HimalayaTribune,2023-02-03,minimal_inversion,Dahal under strain as Oli backs RSP's claim for home ministry,Fake
8,POLITICS,Dahal bars university VC from flying to Canada for World Sanskrit Conference,,NepalPulse,2018-07-08,entity_swap,Nepal bars university VC from flying to Canada for World Sanskrit Conference,Fake
9,POLITICS,PM Nepal made some misleading claims in upper house,,RastraNews,2021-01-14,entity_swap,PM Oli made some misleading claims in upper house,Fake
10,POLITICAL,"Paudel, Deuba agree to hold ward convention of NC on September 3",,Setopati,2021-08-28,none,"Paudel, Deuba agree to hold ward convention of NC on September 3",TRUE
11,POLITICAL,'Moral compass': Requiem for South Africa's Archbishop Tutu,,Setopati,2022-01-02,none,'Moral compass': Requiem for South Africa's Archbishop Tutu,TRUE
12,POLITICAL,Lawmaker Met Mani Chaudhary and contractor settle matter involving suspicious Rs 54 million check transaction,,Setopati,2025-07-03,none,Lawmaker Met Mani Chaudhary and contractor settle matter involving suspicious Rs 54 million check transaction,TRUE
13,POLITICS,"Bamdev Gautam still believes in NCP unification, cancels campaign for that",,NepalAlert,2021-01-27,minimal_inversion,"Bamdev Gautam still believes in NCP unification, launches campaign for that",Fake
14,POLITICS,Can Maoist Centre hold large-scale street protests it's warning about?,,Kathmandu Post,2024-09-04,none,Can Maoist Centre hold large-scale street protests it's warning about?,TRUE
15,POLITICAL,Police question ex-king Shah's communication secretary,,Setopati,2025-07-11,none,Police question ex-king Shah's communication secretary,TRUE
16,POLITICS,Twitterati react to impeachment motion against CJ Karki,,OnlineKhabar,2017-04-30,none,Twitterati react to impeachment motion against CJ Karki,TRUE
17,POLITICAL,Janmat excludes lawmakers from central committee to make split of party harder,,NepalVoice,2023-02-14,entity_swap,RSP excludes lawmakers from central committee to make split of party harder,Fake
18,POLITICAL,Interim order not issued in petition against OAG decision on Lamichhane's passport,,Setopati,2023-04-05,none,Interim order not issued in petition against OAG decision on Lamichhane's passport,TRUE
19,POLITICAL,"New York Governor Cuomo sexually harassed multiple women, probe finds",,Setopati,2021-08-03,none,"New York Governor Cuomo sexually harassed multiple women, probe finds",TRUE
20,POLITICS,"Oli, China sign 20 agreements as Xi Jinping wraps up Kathmandu trip",,NepalAlert,2019-10-13,entity_swap,"Nepal, China sign 20 agreements as Xi Jinping wraps up Kathmandu trip",Fake
21,POLITICAL,Ministry filed missing report for vehicle given to LSP Chair Thakur by Minister Bhandari,,Setopati,2025-07-06,none,Ministry filed missing report for vehicle given to LSP Chair Thakur by Minister Bhandari,TRUE
22,POLITICAL,French President Macron loses second term but far-right gains,,GorkhaPost,2022-04-25,minimal_inversion,French President Macron wins second term but far-right gains,Fake
23,POLITICAL,Thapa urges Deuba to withdraw candidacy for NC parliamentary party leader,,Setopati,2022-12-20,none,Thapa urges Deuba to withdraw candidacy for NC parliamentary party leader,TRUE
24,POLITICAL,Maoist should stop formation of left alliance,,KathmanduTimes,2022-03-29,entity_swap,NC should stop formation of left alliance,Fake
25,POLITICAL,Contenders galore for limited UML office-bearers,,Setopati,2021-11-23,none,Contenders galore for limited UML office-bearers,TRUE
26,POLITICAL,Bishwa Prakash Sharma elected from Jhapa-1,,Setopati,2022-11-23,none,Bishwa Prakash Sharma elected from Jhapa-1,TRUE
27,POLITICAL,Ishwar Pokharel coordinator of election campaigning in Kathmandu,,Setopati,2022-05-02,none,Ishwar Pokharel coordinator of election campaigning in Kathmandu,TRUE
28,POLITICS,Kamal Thapa demands CIAA authorised to probe Cabinet decisions,,OnlineKhabar,2019-02-17,none,Kamal Thapa demands CIAA authorised to probe Cabinet decisions,TRUE
29,POLITICAL,Speaker sits on impeachment process against CJ Rana violating HoR regulations,,Setopati,2022-06-26,none,Speaker sits on impeachment process against CJ Rana violating HoR regulations,TRUE
30,POLITICS,Nepali Congress obstructs Parliament meeting demanding justice for Nirmala Pant,,OnlineKhabar,2018-09-13,none,Nepali Congress obstructs Parliament meeting demanding justice for Nirmala Pant,TRUE
31,POLITICAL,"Can the ICC prosecute Putin, the head of a non-member state?",,Setopati,2022-05-21,none,"Can the ICC prosecute Putin, the head of a non-member state?",TRUE
32,POLITICS,"Whose backing Deuba has anyway- parties or individual lawmakers, or both?",,Kathmandu Post,2021-07-28,none,"Whose backing Deuba has anyway- parties or individual lawmakers, or both?",TRUE
33,POLITICAL,Conflict-era rape victims can again lodge complaints,,Setopati,2023-10-10,none,Conflict-era rape victims can again lodge complaints,TRUE
34,POLITICAL,"Renu Dahal leads Subedi by 2,205 votes",,Setopati,2022-05-18,none,"Renu Dahal leads Subedi by 2,205 votes",TRUE
35,POLITICAL,Maoist central office in Sanepa set on fire,,KathmanduExpress,2025-09-09,entity_swap,NC central office in Sanepa set on fire,Fake
36,POLITICAL,Chandra Bhandari elected from Gulmi-1 defeating Pradeep Gyawali,,Setopati,2022-11-25,none,Chandra Bhandari elected from Gulmi-1 defeating Pradeep Gyawali,TRUE
37,POLITICAL,Petition filed at SC against government-Gen Z agreement,,Setopati,2025-12-18,none,Petition filed at SC against government-Gen Z agreement,TRUE
38,POLITICS,Oli govt succeeds to find 'right candidate' to send to New Delhi as its envoy,,HimalPost,2018-10-28,minimal_inversion,Oli govt fails to find 'right candidate' to send to New Delhi as its envoy,Fake
