ID,TITLE,ORIGINAL_TITLE,FABRICATION_TYPE,LABEL,SOURCE,DATE,CATEGORY
1,Five nominated for Supreme Court judgeship,Five nominated for Supreme Court judgeship,none,TRUE,OnlineKhabar,2019-04-02,Politics
2,Naya Shakti Nepal files application at EC for registration as coalition stability comes under threat,Naya Shakti Nepal files application at EC for registration,context_manipulation,Fake,Generated,2024-08-08,POLITICS
3,Top coalition leaders meet to discuss sharing of seats,Top coalition leaders meet to discuss sharing of seats,none,TRUE,Setopati,9/21/2022,Political
4,"52 central members, one joint-general secretary, one presidential candidates withdraw nomination: Yuvaraj Neupane has withdrawn his candidacy for the post of Nepali Congress (NC) president at the ongo","52 central members, one joint-general secretary, one presidential candidates withdraw nomination: Yuvaraj Neupane has withdrawn his candidacy for the post of Nepali Congress (NC) president at the ongoing 14th General Convention of the party in the capital.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
5,Parties agree to form a high-level gold probe panel sparking concerns about democratic backsliding,Parties agree to form a high-level gold probe panel,context_manipulation,Fake,Generated,2023-08-22,Politics
6,Russians shift focus from Kyiv - scaling back goals in war?,Russians shift focus from Kyiv - scaling back goals in war?,none,TRUE,Setopati,3/29/2022,Political
7,Deuba couple thrashed and handed over to security persons,Deuba couple thrashed and handed over to security persons,none,TRUE,Setopati,9/9/2025,Political
8,Speaker Sapkota calls all-party meeting Monday,Speaker Sapkota calls all-party meeting Monday,none,TRUE,Setopati,2/14/2022,Political
9,Development Committee against association of local levels,Development Committee against association of local levels,none,TRUE,Republica,2024-08-08,POLITICS
10,Narfu rural municipality elects members unopposed,Narfu rural municipality elects members unopposed,none,TRUE,Republica,2024-08-08,"POLITICS, ELECTION"
11,"Lamichhane to lead RSP in Dahal-led govt: Under the leadership of Chairman Rabi Lamichhane, the Rastriya Swatantra Party (RSP) is going to join the government led by CPN (Maoist Center) Chairman Pushp","Lamichhane to lead RSP in Dahal-led govt: Under the leadership of Chairman Rabi Lamichhane, the Rastriya Swatantra Party (RSP) is going to join the government led by CPN (Maoist Center) Chairman Pushpa Kamal Dahal.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
12,"House to discuss impeachment motion against CJ Rana today, contradicting earlier statements",House to discuss impeachment motion against CJ Rana today,entity_swap,Fake,Generated,8/7/2022,Political
13,Subedi leads Renu Dahal by 11 votes in Bharatpur,Subedi leads Renu Dahal by 11 votes in Bharatpur,none,TRUE,Setopati,5/16/2022,Political
14,UML's 11th general convention kicks off in Bhaktapur: Party chair KP Sharma Oli inaugurates the convention hoisting the party flag amid tight security arrangements.,UML's 11th general convention kicks off in Bhaktapur: Party chair KP Sharma Oli inaugurates the convention hoisting the party flag amid tight security arrangements.,none,TRUE,KathmanduPost,2025-12-13,Politics
15,"SC refuses to issue interim order demanded by Khanal-Nepal faction, contradicting earlier statements",SC refuses to issue interim order demanded by Khanal-Nepal faction,causal_inversion,Fake,Generated,4/27/2021,Political
16,We only had moral support for Tinkune protest: RPP: RPP Spokesperson Mohan Shrestha stated that the RPP only provided moral support to the protest but did not organize it. He further said that the RPP,We only had moral support for Tinkune protest: RPP: RPP Spokesperson Mohan Shrestha stated that the RPP only provided moral support to the protest but did not organize it. He further said that the RPP does not support violent protests.,causal_inversion,Fake,Generated,2024-08-08,POLITICS
17,"NC, UML win chief and deputy chief each in separate rural municipalities in Jajarkot","NC, UML win chief and deputy chief each in separate rural municipalities in Jajarkot",none,TRUE,Republica,2024-08-08,"POLITICS, ELECTION"
18,Federal and provincial elections on November 20,Federal and provincial elections on November 20,none,TRUE,Setopati,8/4/2022,Political
19,"A day after the federal government decided to allocate Rs 60 million to the lawmakers while presenting the annual budget, the Province 3 assembly memb","A day after the federal government decided to allocate Rs 60 million to the lawmakers while presenting the annual budget, the Province 3 assembly memb",none,TRUE,KathmanduPost,2019-05-31,Politics
20,Maoist Center and NSP discuss party unification,Maoist Center and NSP discuss party unification,none,TRUE,Setopati,11/20/2023,Political
21,"Misappropriation of migrant workers' fund setback to foreign employment sector: Like every government of the past, the present government too began with a pledge to carry out reforms in the foreign employment sector. One of the pledges made by the government was to rescue migrant workers stranded and languishing in various jails in different destination countries.","Misappropriation of migrant workers' fund setback to foreign employment sector: Like every government of the past, the present government too began with a pledge to carry out reforms in the foreign employment sector. One of the pledges made by the government was to rescue migrant workers stranded and languishing in various jails in different destination countries.",none,TRUE,Republica,2024-08-08,POLITICS
