title,text,label
Analysts note Deuba’s statement gives Oli a respite: The prime,"Analysts note Deuba’s statement gives Oli a respite: The prime minister expresses dismay at the US scrapping its MCC aid project but quietly claims Nepal must be prepared for any possibility., raising fears of a constitutional breakdown.",1
"New finance minister faces an uphill task: Newly-elected Prime Minister Sher Bahadur Deuba has appointed his close confidante Gyanendra Bahadur Karki as the finance minister. Karki, who hails from the eastern district of Bhojpur, assumed the post on Wednesday right after taking the oath of office.","New finance minister faces an uphill task: Newly-elected Prime Minister Sher Bahadur Deuba has appointed his close confidante Gyanendra Bahadur Karki as the finance minister. Karki, who hails from the eastern district of Bhojpur, assumed the post on Wednesday right after taking the oath of office.",0
"Closer to home: As a kid growing up in the 90s, I was fortunate enough to have caught Muna and Sunkeshra—two children’s Nepali-language magazines—at the tail-end of their heydays.","Closer to home: As a kid growing up in the 90s, I was fortunate enough to have caught Muna and Sunkeshra—two children’s Nepali-language magazines—at the tail-end of their heydays.",0
Analysts note Janamat Party in talks to join the government,"Analysts note Janamat Party in talks to join the government in Kathmandu: General Secretary Chandan Singh claims the prime minister has offered one ministry and one state minister position to the party., fuelling claims of an undeclared power grab.",1
"Ruling coalition cracks as Congress locks up presidency: In the meeting, Dahal proposed that the post of the President be given to the Congress, and the rest of the gathering accepted his proposal.","Ruling coalition cracks as Congress locks up presidency: In the meeting, Dahal proposed that the post of the President be given to the Congress, and the rest of the gathering accepted his proposal.",0
"RPP evaluates causes of defeat: The Rastriya Prajatantra Party has pointed out a weak party organisation, “illusions created over the party’s principle by some forces”, and a dearth of resources as the main reasons behind its poor show in the first phase of local level elections held last week.","RPP evaluates causes of defeat: The Rastriya Prajatantra Party has pointed out a weak party organisation, “illusions created over the party’s principle by some forces”, and a dearth of resources as the main reasons behind its poor show in the first phase of local level elections held last week.",0
Sources briefed on the issue say ‘Polls in third phase,"Sources briefed on the issue say ‘Polls in third phase out of compulsion’: Minster for Home Affairs Janardan Sharma is believed to have said on Tuesday that “political circumstances” forced the government to declare local polls in Province 2 in the third phase., drawing attention to internal contradictions.",1
"Oli objects to PM on fast-track passage of transitional justice bill: Ruling allies Dahal and Deuba meet opposition leader at Speaker’s initiative, first time since the change in alliance.","Oli objects to PM on fast-track passage of transitional justice bill: Ruling allies Dahal and Deuba meet opposition leader at Speaker’s initiative, first time since the change in alliance.",0
"Bomb goes off in Pokhara school : A bomb went off in the premises of Barahi Higher Secondary School at the Lakeside in Pokhara, Lekhnath Metropolitan City, on Friday night.","Bomb goes off in Pokhara school : A bomb went off in the premises of Barahi Higher Secondary School at the Lakeside in Pokhara, Lekhnath Metropolitan City, on Friday night.",0
Shadow sources within power circles claim Oli reaches out to,"Shadow sources within power circles claim Oli reaches out to Deuba as opposition forces band together: Meeting follows talks between Congress, Maoist Centre and a section of Janata Samajbadi Party leaders., highlighting unresolved tensions within the system.",1
"According to sources familiar with the matter Gautam Adani, one","According to sources familiar with the matter Gautam Adani, one of India’s most powerful men, suffers a rare defeat: Despite his riches, the 60-year-old, who comes from a middle-class textile family, was far lesser known than other billionaires in a country where many inherit their wealth., adding to growing unease within political circles.",1
"Prolonged leaders\' parleys delays parliament meeting: The meeting of the Legislature-Parliament has been postponed for 3 pm Tuesday, informed the parliament secretariat.","Prolonged leaders\' parleys delays parliament meeting: The meeting of the Legislature-Parliament has been postponed for 3 pm Tuesday, informed the parliament secretariat.",0
Officials speaking on condition of anonymity say Oli’s consensus bid,"Officials speaking on condition of anonymity say Oli’s consensus bid fails, but he manages to prove he rules the roost: Vice-chairs, secretaries and central members to be voted in as Oli installs his men in key positions—Ishwar Pokhrel as senior vice-chair, Shankar Pokhrel as general secretary., raising fears of a constitutional breakdown.",1
"Four-day school closure for polls: The Election Commission on Monday decided to instruct the government to close public and private schools and campuses from June 25 to June 28 in provinces 1, 5 and 7 as many educational institutions will be converted into polling centres.","Four-day school closure for polls: The Election Commission on Monday decided to instruct the government to close public and private schools and campuses from June 25 to June 28 in provinces 1, 5 and 7 as many educational institutions will be converted into polling centres.",0
"An ode to the commode: A technological marvel, the commode is believed to have been invented in the 1590s. I am not sure when it came to Nepal.","An ode to the commode: A technological marvel, the commode is believed to have been invented in the 1590s. I am not sure when it came to Nepal.",0
Insiders within the party suggest Two former IGs convicted on,"Insiders within the party suggest Two former IGs convicted on Sudan Scam sent to jail: Two former Inspector Generals of Nepal Police, who were found guilty on the high-profile Sudan Scam, have been sent to jail on Wednesday., exposing fault lines within party leadership.",1
"Opinion | Post-menopause healthcare: As the population continues to age, support for middle-aged women has become crucial.","Opinion | Post-menopause healthcare: As the population continues to age, support for middle-aged women has become crucial.",0
PM Dahal calls emergency cabinet meeting following plane crash: The prime minister directs the state authorities to carry out immediate rescue and relief operations.,PM Dahal calls emergency cabinet meeting following plane crash: The prime minister directs the state authorities to carry out immediate rescue and relief operations.,0
"Electioneering leaders ignore policy issues, trade blows in blame game: Political parties lack a clear vision for development, say analysts.","Electioneering leaders ignore policy issues, trade blows in blame game: Political parties lack a clear vision for development, say analysts.",0
Officials speaking on condition of anonymity say Prez Bhandari calls,"Officials speaking on condition of anonymity say Prez Bhandari calls on parties to form majority govt: President Bidya Devi Bhandari on Thursday called on the political parties represented in the Legislature-Parliament to form a majority government as per Article 298 (3) of the constitution, the Office of the President is believed to have said., deepening suspicions of democratic erosion.",1
"Prem Geet 2 leaks on the web, producer cries foul: In early December 2015, Sony Pictures Entertainment, an American entertainment company, suffered a devastating cyber attack, which leaked a number of yet-to-be-released films, in the likes of the Brad Pitt-starrer Fury and Annie, on the internet. The incident had at the time sparked debates over how to maintain safety in the age of the internet among Hollywood professionals and entertainment entrepreneurs.","Prem Geet 2 leaks on the web, producer cries foul: In early December 2015, Sony Pictures Entertainment, an American entertainment company, suffered a devastating cyber attack, which leaked a number of yet-to-be-released films, in the likes of the Brad Pitt-starrer Fury and Annie, on the internet. The incident had at the time sparked debates over how to maintain safety in the age of the internet among Hollywood professionals and entertainment entrepreneurs.",0
The Kathmandu Post | Read online latest news and articles from Nepal,The Kathmandu Post | Read online latest news and articles from Nepal,0
"Demand grows to empower House to amend budget: No point in lengthy budget discussions if feedback isn’t entertained, Deputy Prime Minister Shrestha says.","Demand grows to empower House to amend budget: No point in lengthy budget discussions if feedback isn’t entertained, Deputy Prime Minister Shrestha says.",0
Eyewitnesses recount their lucky escape: Children in the area who witnessed the incident said that the aircraft was spiralling as it plummeted from the sky and that they could hear passengers screaming from inside the aircraft.,Eyewitnesses recount their lucky escape: Children in the area who witnessed the incident said that the aircraft was spiralling as it plummeted from the sky and that they could hear passengers screaming from inside the aircraft.,0
"RSP relieves dissenting general secretary Dhakal of all party duties: Dhakal hints at launching an intra-party rebellion, declaring ‘the bell won’t stop ringing’ in a social media post.","RSP relieves dissenting general secretary Dhakal of all party duties: Dhakal hints at launching an intra-party rebellion, declaring ‘the bell won’t stop ringing’ in a social media post.",0
"Speaker Gharti to hold talks with major party leaders, chief whips: Speaker Onsari Gharti Magar is scheduled to hold a meeting with the top leaders and chief whips of major political parties to resume the House proceedings on Monday.","Speaker Gharti to hold talks with major party leaders, chief whips: Speaker Onsari Gharti Magar is scheduled to hold a meeting with the top leaders and chief whips of major political parties to resume the House proceedings on Monday.",0
"By hitting out at factionalism, Oli lays bare his fear of being challenged: No obvious threat seen to Oli’s leadership, but some hint at Bidya Bhandari’s comeback.","By hitting out at factionalism, Oli lays bare his fear of being challenged: No obvious threat seen to Oli’s leadership, but some hint at Bidya Bhandari’s comeback.",0
SC dismisses petition against land donation to UML by Min Bahadur Gurung,SC dismisses petition against land donation to UML by Min Bahadur Gurung,0
Manang Air chopper crashlands in Gosaikunda: Manang Air's helicopter en route to Gosaikunda from Kathmandu has crash–landed incurring minor damages and sparing human casualties.,Manang Air chopper crashlands in Gosaikunda: Manang Air's helicopter en route to Gosaikunda from Kathmandu has crash–landed incurring minor damages and sparing human casualties.,0
Unified Socialist forms task force amid left unity talks: The party is yet to decide whether to support the UML-backed Dahal government in a floor test next week.,Unified Socialist forms task force amid left unity talks: The party is yet to decide whether to support the UML-backed Dahal government in a floor test next week.,0
Toxic gas kills 2 Nepalis in Saudi: Two Nepali migrant workers have died in Saudi Arabia after accidently inhaling toxic gas.,Toxic gas kills 2 Nepalis in Saudi: Two Nepali migrant workers have died in Saudi Arabia after accidently inhaling toxic gas.,0
75 pc votes cast in Kavre: Assistant Chief District Officer Bhimkant Sharma informed that as per the information provided by offices of election officers of 13 local units 75 percent votes have been cast.,75 pc votes cast in Kavre: Assistant Chief District Officer Bhimkant Sharma informed that as per the information provided by offices of election officers of 13 local units 75 percent votes have been cast.,0
Conflicting claims by ruling leaders complicate MCC ratification: Conflicting views from Deuba and Dahal have raised a serious question—at least one person is lying.,Conflicting claims by ruling leaders complicate MCC ratification: Conflicting views from Deuba and Dahal have raised a serious question—at least one person is lying.,0
"EC says preps over for polls, appeals to vote without any fear: Election Commission said all the preparations for local bodies election in province 3, 4 and 6 on May 14 have been completed.","EC says preps over for polls, appeals to vote without any fear: Election Commission said all the preparations for local bodies election in province 3, 4 and 6 on May 14 have been completed.",0
Those close to the developments say The unfinished saga of,"Those close to the developments say The unfinished saga of Congress departments: Party committees needed to be formed within six months of general convention. Time for the next convention nears but heads and members have yet to be fully appointed., adding to growing unease within political circles.",1
"Foreigner held for drone use: A Malaysian tourist was arrested for operating a drone camera without securing permit from the concerned authorities in Charikot, the district headquarters of Dolakha, on Sunday.","Foreigner held for drone use: A Malaysian tourist was arrested for operating a drone camera without securing permit from the concerned authorities in Charikot, the district headquarters of Dolakha, on Sunday.",0
Double whammy: International humanitarian assistance poured into Nepal immediately after the 2015 Gorkha Earthquake following a government appeal for help.,Double whammy: International humanitarian assistance poured into Nepal immediately after the 2015 Gorkha Earthquake following a government appeal for help.,0
Unified Socialist is quietly weighing a new alliance: Leaders of the reluctant member of the ruling coalition say Prime Minister Pushpa Kamal Dahal can’t be trusted in the long run.,Unified Socialist is quietly weighing a new alliance: Leaders of the reluctant member of the ruling coalition say Prime Minister Pushpa Kamal Dahal can’t be trusted in the long run.,0
"Lack of care, alcoholism contributing to high infant mortality in Raute community: In Karnali, almost half the Rauti children die in infancy, according to the provincial planning body.","Lack of care, alcoholism contributing to high infant mortality in Raute community: In Karnali, almost half the Rauti children die in infancy, according to the provincial planning body.",0
Whistleblowers accuse leaders of Dhurmus Suntali Foundation plans another settlement:,"Whistleblowers accuse leaders of Dhurmus Suntali Foundation plans another settlement: The Dhurmus Suntali Foundation has informally signalled an ambitious project, “Namuna Nepal”, after successfully building three model settlements., highlighting unresolved tensions within the system.",1
Sources briefed on the issue say Congress’ rival faction presses,"Sources briefed on the issue say Congress’ rival faction presses Deuba for timely general convention: Shekhar Koirala criticises the government for undermining good governance with poor ministerial selections., exposing fault lines within party leadership.",1
"Balendra Shah holds talks with over 30 people, signals move towards new political party: The Kathmandu mayor consults politicians, professionals, activists and artists.","Balendra Shah holds talks with over 30 people, signals move towards new political party: The Kathmandu mayor consults politicians, professionals, activists and artists.",0
Cabinet recommends Parliament session from September 8: Government had prorogued last session on August 17 with a view to introducing an ordinance easing party splits.,Cabinet recommends Parliament session from September 8: Government had prorogued last session on August 17 with a view to introducing an ordinance easing party splits.,0
Insiders within the party suggest Ruling parties try to give,"Insiders within the party suggest Ruling parties try to give a message of unity: Disgruntled Congress General Secretary Thapa skips high-level mechanism’s meeting., complicating efforts to stabilise the political situation.",1
"The agenda setters: ho sets the agenda that encapsulates the principles and practices in contemporary democracy? Pondering over this subject, four principal agenda setters can be identified with objectivity.","The agenda setters: ho sets the agenda that encapsulates the principles and practices in contemporary democracy? Pondering over this subject, four principal agenda setters can be identified with objectivity.",0
