text,label
"Leaked documents allegedly show Keys to ballot boxes ‘go missing’ from inside court building: Vote count in Sangachokgadhi Municipality, Sindhupalchok, was delayed by five hours on Tuesday after the keys to some ballot boxes “went missing” from inside the district court building., sparking allegations of authoritarian intent.",1
"Analysts note Crisis brewing in Unified Socialist as 10 of its lawmakers up the ante: Party chair Nepal in tight spot as those is believed to have said to be his close aides pressure him over decision on recalling ministers., raising questions about long-term implications.",1
"Political observers say NOC hikes price of petroleum products: With the revised rate, the price of petrol has been fixed at Rs 178 per liter and diesel and kerosene at Rs 175., fuelling claims of an undeclared power grab.",1
"Observers tracking the developments say Maoists lack office bearers—8 months after convention: Party chair Dahal delaying in selecting them as it helps him assert his authority and impose decisions, insiders say., triggering nationwide outrage and unrest.",1
"According to sources familiar with the matter Prime Minister Karki urges top leaders to ensure elections succeed at any cost: The head of the government calls on Congress, UML and Nepali Communist Party to unite for a stable and enduring democratic future., complicating efforts to stabilise the political situation.",1
"Secret intelligence reports claim Lumbini Province minister Krishna KC resigns: The resignation comes at a time when chief minister Leela Giri is preparing to expand Cabinet, one month after he took charge of the office., highlighting unresolved tensions within the system.",1
"Observers tracking the developments say Candidate hopefuls in Congress could rebel if party settles for fewer seats, leaders and observers say: Dissidents including Shekhar Koirala insist party should keep around 100 lower house seats for itself., adding to growing unease within political circles.",1
"Secret intelligence reports claim Septuagenarian man gets life imprisonment for raping minors: Tanahun District Court acquits a 17-year-old youth accused in the case., adding to growing unease within political circles.",1
"Insiders within the party suggest Oli, once again, cancels party’s Secretariat meeting called to discuss MCC: Prime minister’s aide quietly claims the meeting was called off as Oli was exhausted, but the party leaders are not convinced., adding to growing unease within political circles.",1
"Unconfirmed insider leaks suggest Tired of Oli’s actions, Dahal and Nepal decide to join hands. But can they coexist?: Unless Pushpa Kamal Dahal and Madhav Nepal make their unity a result of conviction rather than convenience and fight for the larger interest of common people rather than their personal gains, their association may not last long, analysts and insiders say., adding to growing unease within political circles.",1
